newid,newtime,dgsvi,dlnprice,vol,dunc
Aluminium,2015/7/10,-5.46,-0.6112671,0.7900867,13.74587
Aluminium,2015/7/17,1.04,-2.234985,0.7188469,-14.29888
Aluminium,2015/7/24,-2.860001,0.0291748,0.7717919,50.87011
Aluminium,2015/7/31,1.3,-1.099365,0.7345542,-20.55544
Aluminium,2015/8/7,2.670001,-0.7841797,0.9089488,-26.82583
Aluminium,2015/8/14,0.6999989,0.6367188,0.6383405,7.022685
Aluminium,2015/8/21,4.550001,-2.088074,0.5942862,12.80636
Aluminium,2015/8/28,1.4,2.220825,0.9700358,-4.162312
Aluminium,2015/9/4,6.299999,-0.5617065,1.301023,3.078878
Aluminium,2015/9/11,5.879999,0.635376,0.8829232,-14.52166
Aluminium,2015/9/18,1.470001,0.1619263,0.3439036,-13.6834
Aluminium,2015/9/25,0,-1.243042,0.435233,9.439969
Aluminium,2015/10/2,-6.389999,0.8451538,0.6359587,49.06636
Aluminium,2015/10/9,-1.380001,-0.4884033,0.6391745,-54.81282
Aluminium,2015/10/16,4.600002,-0.4908447,0.270159,7.679236
Aluminium,2015/10/23,-0.920002,-1.305603,0.5236941,3.751034
Aluminium,2015/10/30,-0.9200001,-2.756714,0.9285593,64.68961
Aluminium,2015/11/6,-1.85,-2.197876,0.8201829,-3.138077
Aluminium,2015/11/13,0.6100006,0.947876,1.262624,-54.78223
Aluminium,2015/11/20,1.219999,-0.8209839,0.5055801,-3.781927
Aluminium,2015/11/27,-4.269999,1.713196,0.8095093,-11.79313
Aluminium,2015/12/4,2.549999,-0.0467529,0.473764,3.419524
Aluminium,2015/12/11,-7,-0.7354736,1.32947,21.13177
Aluminium,2015/12/18,-5,0.1099243,0.9317518,-11.18785
Aluminium,2015/12/25,-5,0.6567383,0.3598616,-16.74953
Aluminium,2016/1/1,2.2,-0.3121948,0.248917,2.1577
Aluminium,2016/1/8,8.8,-0.3759766,0.5397064,9.671015
Aluminium,2016/1/15,-1.200001,-1.693481,0.7046733,16.09324
Aluminium,2016/1/22,1.6,-1.495544,0.3829103,20.59381
Aluminium,2016/1/29,-0.7999992,-0.5523682,2.639494,135.4476
Aluminium,2016/2/5,6.639999,1.005005,1.371967,-155.3815
Aluminium,2016/2/12,0,3.127991,1.008129,31.52876
Aluminium,2016/2/19,5.280001,-2.180847,1.020076,-53.04529
Aluminium,2016/2/26,-1.920002,-0.2719727,0.289168,18.52622
Aluminium,2016/3/4,-3.989998,0.2559814,2.155402,20.01592
Aluminium,2016/3/11,5.169998,0.4464111,0.6993475,-30.83008
Aluminium,2016/3/18,-7.049999,-0.7023926,0.3519292,-8.130235
Aluminium,2016/3/25,-8.93,1.652405,0.377943,-11.00353
Aluminium,2016/4/1,7.210001,-0.2525024,0.5912719,52.43112
Aluminium,2016/4/8,7.65,-2.075073,0.510968,-22.27007
Aluminium,2016/4/15,0.5099983,0.1611938,0.0603174,-10.83408
Aluminium,2016/4/22,1.02,-0.3064575,1.090748,-8.389226
Aluminium,2016/4/29,-3.569998,0.0807495,0.080667,8.447703
Aluminium,2016/5/6,-3.02,-0.1938477,0.363196,38.79023
Aluminium,2016/5/13,9.749998,-0.1618652,3.505292,-27.63899
Aluminium,2016/5/20,8.450001,-1.205811,0.3344778,-29.20599
Aluminium,2016/5/27,-11.7,0.8000488,0.1696096,-12.09378
Aluminium,2016/6/3,-4.739998,0.1137695,0.0676444,9.924485
Aluminium,2016/6/10,-9.68,-0.75,0.2399842,32.39555
Aluminium,2016/6/17,1.76,0.3104858,0.9643213,-7.666916
Aluminium,2016/6/24,-7.92,-0.1796875,0.511797,-6.705961
Aluminium,2016/7/1,3.52,0,0.0611896,14.33118
Aluminium,2016/7/8,-3.52,0.0327148,0.0247909,-17.55188
Aluminium,2016/7/15,-0.8800001,0.9918213,0.6352828,16.72428
Aluminium,2016/7/22,0.2199993,-2.572876,1.187923,-0.5405843
Aluminium,2016/7/29,0.4400005,2.686035,1.351966,-6.167281
Aluminium,2016/8/5,1.2,0.2582397,1.017721,-24.60915
Aluminium,2016/8/12,0.9300003,0.3218384,0.1552159,11.19619
Aluminium,2016/8/19,2.17,1.435669,0.5706915,35.62331
Aluminium,2016/8/26,0.6199989,0.0791626,0.0296221,-51.38363
Aluminium,2016/9/2,2.780001,-0.3011475,0.1005276,28.55922
Aluminium,2016/9/9,4.4,-0.9248657,0.3443925,-12.18837
Aluminium,2016/9/16,-5.199999,0.1120605,0.0242802,-15.54315
Aluminium,2016/9/23,6,0.0479736,0.403104,5.214976
Aluminium,2016/9/30,-2.800001,0.3672485,0.1566937,3.570137
Aluminium,2016/10/7,4.85,0.0796509,0.0318614,-4.969397
Aluminium,2016/10/14,0.8999996,0.095459,0.0363051,22.3175
Aluminium,2016/10/21,-4.049999,-1.91449,1.435244,-8.365479
Aluminium,2016/10/28,3.6,1.91449,0.9742191,46.84757
Aluminium,2016/11/4,7.82,-0.6063232,0.1829829,-62.55895
Aluminium,2016/11/11,-2.799999,1.319641,0.6103618,84.65646
Aluminium,2016/11/18,3.919998,-2.090881,1.105233,-4.833555
Aluminium,2016/11/25,-5.040001,0.289917,1.166841,-34.06647
Aluminium,2016/12/2,1.400002,0.3852539,0.3351112,-23.76215
Aluminium,2016/12/9,-18.2,0.1600342,1.550955,0.612843
Aluminium,2016/12/16,-1.4,0.1598511,0.0298936,-6.480697
Aluminium,2016/12/23,-5.599999,-1.253418,0.5973794,-23.17723
Aluminium,2016/12/30,-1.400001,0,0.0228726,0.5799845
Aluminium,2017/1/6,12.69,-0.1942749,0.1610121,18.39315
Aluminium,2017/1/13,5.549999,3.580627,1.15811,21.70971
Aluminium,2017/1/20,2.59,0.6854858,0.9299307,24.0386
Aluminium,2017/1/27,-1.48,-0.40448,0.3481279,-46.86463
Aluminium,2017/2/3,2.17,-0.8296509,0.4241279,-3.303128
Aluminium,2017/2/10,2.199999,3.171448,1.081872,19.68168
Aluminium,2017/2/17,-2.639999,0.3799438,0.130244,-26.09983
Aluminium,2017/2/24,-1.76,-0.2277832,0.5803814,15.25995
Aluminium,2017/3/3,4.610003,3.686707,0.9771604,48.64273
Aluminium,2017/3/10,3.179996,-0.6468506,0.1645181,-59.69635
Aluminium,2017/3/17,-1.59,1.667419,0.5405588,25.24166
Aluminium,2017/3/24,3.710003,-2.318542,0.448162,-27.10311
Aluminium,2017/3/31,-0.5300026,0.6363525,0.1858189,-9.129996
Aluminium,2017/4/7,-10.31,0.3386841,0.3225526,6.105681
Aluminium,2017/4/14,-6.110001,-1.33197,0.5252277,9.976056
Aluminium,2017/4/21,10.34,2.355835,0.9383318,83.33289
Aluminium,2017/4/28,-1.41,-1.229858,1.417667,-84.1982
Aluminium,2017/5/5,-2.16,-1.215393,0.4776156,18.25683
Aluminium,2017/5/12,1.83,-1.230347,0.3370654,-17.54221
Aluminium,2017/5/19,1.219999,-0.0452881,0.0628316,-6.118894
Aluminium,2017/5/26,-6.1,0.0151367,0.2249857,0.672999
Aluminium,2017/6/2,25.6,-0.9102173,0.1674765,-10.44795
Aluminium,2017/6/9,-20.5,-0.9185791,0.2742899,24.96848
Aluminium,2017/6/16,-8,-1.847168,0.5096164,-8.052069
Aluminium,2017/6/23,-2,-0.0783691,0.3243569,-10.7531
Aluminium,2017/6/30,-4,1.925537,0.5614168,26.04064
Aluminium,2017/7/7,4,0.8881226,0.7091355,-11.46677
Aluminium,2017/7/14,0.5200005,0.3043823,0.38073,17.46614
Aluminium,2017/7/21,-2.08,-1.80957,0.3357951,-28.49511
Aluminium,2017/7/28,1.559999,0.7093506,0.2677778,5.927834
Aluminium,2017/8/4,1.379999,3.413696,0.9575737,72.18387
Aluminium,2017/8/11,-1.439999,1.897522,0.8090488,-75.39326
Aluminium,2017/8/18,0.7199993,3.676331,1.668579,14.58243
Aluminium,2017/8/25,5.040001,0.8530884,0.3897336,-16.14817
Aluminium,2017/9/1,1.019999,1.670959,0.5121821,15.56128
Aluminium,2017/9/8,7.820002,-4.338196,1.485801,49.21178
Aluminium,2017/9/15,-5.980001,0.3996582,0.4396197,-65.51189
Aluminium,2017/9/22,0.9200001,1.133179,0.3754862,20.81623
Aluminium,2017/9/29,3.220001,0,0.0244002,-22.97436
Aluminium,2017/10/6,-4.75,2.723145,0.9512916,10.56323
Aluminium,2017/10/13,0.4499989,-0.1783447,0.4056253,13.03301
Aluminium,2017/10/20,4.949999,-0.0411987,0.1808279,-35.67114
Aluminium,2017/10/27,-1.799999,0.5752563,0.257999,57.2093
Aluminium,2017/11/3,0.2200012,1.059631,2.829625,-25.98343
Aluminium,2017/11/10,9.540001,-0.0811157,0.0651571,-22.84787
Aluminium,2017/11/17,-2.120003,-0.1895142,0.0852968,8.406466
Aluminium,2017/11/24,3.18,-1.364258,0.3475364,44.64571
Aluminium,2017/12/1,-18.07,2.120239,1.028437,20.16319
Aluminium,2017/12/8,0.6800003,-3.838196,1.565269,-69.76337
Aluminium,2017/12/15,-2.379999,-0.1958618,0.1347436,-1.118007
Aluminium,2017/12/22,-11.9,1.96875,0.7192782,25.12042
Aluminium,2017/12/29,6.8,-0.8271484,1.667139,86.93565
Aluminium,2018/1/5,6.18,0,0.0259025,-118.9792
Aluminium,2018/1/12,4.940001,-1.421997,0.2658229,52.19363
Aluminium,2018/1/19,3.039999,1.64325,1.093099,22.79536
Aluminium,2018/1/26,-5.700001,0.5234985,0.6865741,-50.28117
Aluminium,2018/2/2,-2.059999,2.764404,0.8227888,-6.357187
Aluminium,2018/2/9,4.5,-4.357117,0.8033022,48.03753
Aluminium,2018/2/16,-2.25,3.052185,0.7522746,9.050626
Aluminium,2018/2/23,0.8999996,0.256958,0.4900603,-62.13906
Aluminium,2018/3/2,11.79,0.2158813,0.8086444,14.46178
Aluminium,2018/3/9,-1.080002,-0.2294312,0.767406,-6.565103
